2023-05-14 00:05:47,713 [INFO] label-studio init captcha-recognition -b --internal-host localhost -l config/label-config.xml
2023-05-14 00:06:06,546 [INFO] Exceuted `python setup.py run-studio` again to start Label-Studio
2023-05-14 00:06:17,183 [INFO] label-studio start captcha-recognition -b --internal-host localhost
2023-05-14 00:25:47,841 [INFO] Dataset Abolute path: /home/rony/captcha-model-train/tasks
2023-05-14 00:25:47,842 [INFO] File Filter Regex: .*json
2023-05-14 00:38:31,709 [INFO] Dataset Abolute path: /home/rony/captcha-model-train/CAPTCHA_images/images
2023-05-14 00:38:31,709 [INFO] File Filter Regex: .*json
2023-05-14 00:43:57,629 [INFO] Dataset Abolute path: /home/rony/captcha-model-train/CAPTCHA_images/images
2023-05-14 00:43:57,629 [INFO] File Filter Regex: .*json
2023-05-14 09:31:05,476 [INFO] Dataset Abolute path: /home/rony/Projects/captcha-model-train/data/
2023-05-14 09:31:05,476 [INFO] File Filter Regex: .*json
2023-05-15 03:43:32,723 [ERROR] KeyError: id => 95, image => data/aptmu.png
2023-05-15 03:43:32,723 [ERROR] KeyError: id => 96, image => data/apwtr.png
2023-05-15 03:43:32,723 [ERROR] KeyError: id => 97, image => data/aqala.png
2023-05-15 03:43:32,723 [ERROR] KeyError: id => 98, image => data/aqfvx.png
2023-05-15 03:43:32,723 [ERROR] KeyError: id => 99, image => data/aqlmc.png
2023-05-15 03:43:32,723 [ERROR] KeyError: id => 100, image => data/arcli.png
2023-05-15 03:43:32,723 [ERROR] KeyError: id => 101, image => data/arkuy.png
2023-05-15 03:43:32,723 [ERROR] KeyError: id => 102, image => data/arpay.png
2023-05-15 03:43:32,723 [ERROR] KeyError: id => 103, image => data/arsam.png
2023-05-15 03:43:32,723 [ERROR] KeyError: id => 104, image => data/arvkp.png
2023-05-15 03:43:32,724 [ERROR] KeyError: id => 105, image => data/asbpy.png
2023-05-15 03:43:32,724 [ERROR] KeyError: id => 106, image => data/asdyi.png
2023-05-15 03:43:32,724 [ERROR] KeyError: id => 107, image => data/asfcx.png
